graph convolutional subspace clustering robust subspace clustering framework hyperspectral image,https://ieeexplore.ieee.org/document/9181470/,hyperspectral image hsi clustering challenging task due high complexity hsi data subspace clustering proven powerful exploiting intrinsic relationship data points despite impressive performance hsi clustering traditional subspace clustering methods often ignore inherent structural information among data article revisit subspace clustering graph convolution present novel subspace clustering framework called graph convolutional subspace clustering gcsc robust hsi clustering specifically framework recasts selfexpressiveness property data noneuclidean domain results robust graph embedding dictionary show traditional subspace clustering models special forms framework euclidean data basis framework propose two novel subspace clustering models using frobenius norm namely efficient gcsc egcsc efficient kernel gcsc ekgcsc model globally optimal closedform solution making easier implement train apply practice extensive experiments strongly evidence egcsc ekgcsc dramatically outperform current models three popular hsi data sets consistently
robust hierarchical clustering metabolomics data analysis presence cellwise casewise outliers,https://ieeexplore.ieee.org/document/8465616/,metabolomics sophisticated highthroughput technology based entire set metabolites known connector genotypes phenotypes metabolomics clustering important metabolomics analysis hierarchical clustering algorithms widely used successful unsupervised technique analyzing metabolomics data metabolomics data collected using highthroughput technology provides high dimensional data matrix may contaminated cellwise casewise outliers traditional hierarchical clustering algorithms highly sensitive outliers misleading clustering results presence outliers paper attempt made robustify hierarchical clustering algorithm using covariance matrix two stage generalized sestimator tsgs simulation study clearly indicates proposed method significantly improves performance traditional hierarchical clustering approach presence outliers almost absence outliers
robust design accelerated life tests weighted clustering approach,https://ieeexplore.ieee.org/document/8769283/,optimal experimental design accelerated life test alt depends true lifestress relationship however difficult obtain exact coefficient values assumed regression model incorrect prior knowledge model coefficients may give rise inefficient test outcome hence beneficial construct alt plan robust uncertainty planning values paper new approach construct robust alt plan described using weighted clustering seen deterministic alternative original clustering approach original clustering method requires large number locally optimal designs based random samples coefficient values locally optimal designs needed proposed method case study illustrates robust design constructed weighted clustering reveals efficient measure terms doptimality criterion compared sampling based method substantially reduces number optimization procedures
locally weighted ensemble clustering,https://ieeexplore.ieee.org/document/7932479/,due ability combine multiple base clusterings probably better robust clustering ensemble clustering technique attracting increasing attention recent years despite significant success one limitation existing ensemble clustering methods generally treat base clusterings equally regardless reliability makes vulnerable lowquality base clusterings although efforts made globally evaluate weight base clusterings yet methods tend view base clustering individual neglect local diversity clusters inside base clustering remains open problem evaluate reliability clusters exploit local diversity ensemble enhance consensus performance especially case access data features specific assumptions data distribution address paper propose novel ensemble clustering approach based ensembledriven cluster uncertainty estimation local weighting strategy particular uncertainty cluster estimated considering cluster labels entire ensemble via entropic criterion novel ensembledriven cluster validity measure introduced locally weighted coassociation matrix presented serve summary ensemble diverse clusters local diversity ensembles exploited two novel consensus functions proposed extensive experiments variety realworld datasets demonstrate superiority proposed approach stateoftheart
fuzzy kernel robust clustering anomaly based intrusion detection,https://ieeexplore.ieee.org/document/8780480/,intrusion detection systems ids security management system aim protect systems intrusion anomaly based detection works based existence anomaly behavior conform welldefined notation known normal behavior misuse detection monitors resources find intrusion signatures unsupervised learning method fuzzy clustering method widely used solve ids problems especially anomaly based one goal find patterns data prevent intrusion detecting anomaly behavior compares normal fuzzy logic based algorithms used several problems failed fulfill theoretical assumption failed modeled analytically also used classification problem incomplete information problems unclear boundary classes paper use fuzzy kernel robust clustering algorithm kdd cup99 dataset succeeded classify items five clusters one normal behavior rest four types attacks accuracy every training data 95 lowest one 9589 occur 10 training dataset highest accuracy around 9852 80555 90 training dataset
robust density clustering algorithm based gravity peak,https://ieeexplore.ieee.org/document/9070943/,density peak clustering algorithm become hotspot clustering research recent years characteristics finding highdensity centers however derivatives generally good distinguishing cluster centers uniform heterogeneous data sets moreover common problem densitybased clustering algorithm cannot effectively distinguish clusters overlaps address problems new robust density clustering algorithm called rdcgp proposed paper introducing law gravity densitybased clustering algorithm solve first problem addition propose gravity tilt detection method identify extract edge points clusters improve accuracy density clustering algorithm also well solve defect density peak algorithm cannot find cluster centers unbalanced data effectively selected various types data sets experiments compared methods proposed obvious robustness significantly accuracy
adaptive robust semisupervised clustering framework using weighted consensus randomkkmeans ensemble,https://ieeexplore.ieee.org/document/8896034/,semisupervised cluster ensemble usually introduces small amount supervision first stage cluster ensemble ie ensemble generation performing many runs semisupervised clustering algorithms however neither efficient terms computational complexity flexible dynamic learning environment limited supervision changes time article propose new framework generates base partitions unsupervised manner attributes different weights cluster base partitions weighting scheme considers internal validation measures clustering degrees satisfaction pairwise constraints weighted coassociation matrix based consensus approach applied achieve final partition handle highdimensional data generate base partitions using kmeans random sampling random subspace techniques new framework retains high accuracy efficient since avoids performing semisupervised clustering ensemble generation complexity weighting scheme independent number instances dynamic environment adaptive traditional approach require rerunning semisupervised clustering algorithms limited supervision changes empirical results 12 datasets demonstrate also robust noisy constraints
robust feature clustering unsupervised speech activity detection,https://ieeexplore.ieee.org/document/8461652/,certain applications zeroresource speech processing verylow resource speechlanguage systems might feasible collect speech activity detection sad annotations however stateoftheart supervised sad techniques based neural networks machine learning methods require annotated training data matched target domain paper establish clustering approach fully unsupervised sad useful cases sad annotations available proposed approach leverages hartigan dip test recursive strategy segmenting feature space prominent modes statistical dip invariant distortions lends robustness proposed method evaluate method nist opensad 2015 nist opensat 2017 public safety communications data results showed superiority proposed approach twocomponent gmm baseline
detecting nonspherical clusters using modified cure algorithm,https://ieeexplore.ieee.org/document/9721508/,clustering using representatives cure algorithm robust hierarchical clustering algorithm dealing noise outliers cure algorithm merges divides clusters datasets separate enough density difference obtained results show cure clustering sensitive input parameters paper advantages densitybased cluster center detection represented modified cure clustering algorithm developed new algorithm determines cluster centers doesnt allow merging clusters contain cluster centers data points experimental results show proposed algorithm capability extract clusters efficiently traditional cure algorithm
automatic estimation cluster number fuzzy coclustering based competition elimination clusters,https://ieeexplore.ieee.org/document/8716051/,fuzzy coclustering induced multinomial mixture model fccmm one effective methods analyzing cooccurrence information data fccmm determine number clusters advance furthermore select best solution lot trials various patterns number clusters random initial values gaussian mixture models robust em clustering algorithm robust initial values automatically estimate optimal number clusters proposed order resolve problems introduces entropybased penalty term respect cluster volumes objective function standard em algorithm obtains optimal number clusters continually eliminating clusters low competitiveness volumes paper propose method automatically estimates optimal number clusters without influenced initial values introducing entropybased penalty term respect cluster volumes objective function fccmm similar manner robust em algorithm demonstrate estimation performance numerical experiments
